timestamp,"market_cap-weighted (max_weight=0.05, min_volume=1000000)","market_cap-weighted (max_weight=0.05, min_volume=10000000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.1, min_volume=10000000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000000)"
1393588800000,213.517945876,64.1521443086,213.517945876,64.1521443086,155.96471504,64.1521443086
1393675200000,207.118862273,62.5067963699,207.118862273,62.5067963699,151.290488494,62.5067963699
1393761600000,209.067271052,65.1790597105,209.067271052,65.1790597105,152.713708536,65.1790597105
1393848000000,246.52043878,66.7467941814,246.52043878,66.7467941814,180.07146813,66.7467941814
1393934400000,321.650786467,85.827769728,321.650786467,85.827769728,234.950617607,85.827769728
1394020800000,301.214732035,78.6527860389,301.214732035,78.6527860389,195.420398115,78.6527860389
1394107200000,306.868821802,79.4492802819,306.868821802,79.4492802819,199.088626644,79.4492802819
1394193600000,287.273102163,73.8126501149,287.273102163,73.8126501149,186.375425974,73.8126501149
1394280000000,272.31941151,70.1674312428,272.31941151,70.1674312428,176.673854736,70.1674312428
1394366400000,268.339135012,69.8892051163,268.339135012,69.8892051163,174.091553357,69.8892051163
1394452800000,274.170579293,71.4716432084,274.170579293,71.4716432084,177.874844949,71.4716432084
1394539200000,258.8329843,71.4264010046,258.8329843,71.4264010046,167.924206414,71.4264010046
1394625600000,282.189029988,72.942535218,282.189029988,72.942535218,183.077010249,72.942535218
1394712000000,282.744989055,74.5809476951,282.744989055,74.5809476951,183.437702244,74.5809476951
1394798400000,278.170738766,72.4026798543,278.170738766,72.4026798543,180.470045892,72.4026798543
1394884800000,278.402326576,72.4026798543,278.402326576,72.4026798543,180.620294128,72.4026798543
1394971200000,284.912349657,72.4026798543,284.912349657,72.4026798543,184.843830253,72.4026798543
1395057600000,271.178278149,68.8565738421,271.178278149,68.8565738421,175.933516658,68.8565738421
1395144000000,271.856031942,67.0125632208,271.856031942,67.0125632208,176.373225949,67.0125632208
1395230400000,278.649512657,68.8367164235,278.649512657,68.8367164235,180.780662122,68.8367164235
1395316800000,253.802008327,62.6984655682,253.802008327,62.6984655682,164.660238145,62.6984655682
1395403200000,237.683679305,58.7807988464,237.683679305,58.7807988464,154.203079383,58.7807988464
1395489600000,257.466304663,57.3676897795,257.466304663,57.3676897795,167.037539693,57.3676897795
1395576000000,259.104071965,57.7416402484,259.104071965,57.7416402484,168.100081144,57.7416402484
1395662400000,266.384754295,58.1511709377,266.384754295,58.1511709377,172.823601238,58.1511709377
1395748800000,275.387548782,60.3005212541,275.387548782,60.3005212541,178.664383563,60.3005212541
1395835200000,284.970446789,62.0238361033,284.970446789,62.0238361033,184.881522183,62.0238361033
1395921600000,259.411173065,56.704865935,259.411173065,56.704865935,168.299320467,56.704865935
1396008000000,219.39652824,47.6064666288,219.39652824,47.6064666288,142.338844465,47.6064666288
1396094400000,217.588877818,47.1426932949,217.588877818,47.1426932949,141.166087201,47.1426932949
1396180800000,212.260142881,42.648125621,212.260142881,42.648125621,137.708940547,42.648125621
1396267200000,194.228691914,39.3119472288,194.228691914,39.3119472288,126.0105973,39.3119472288
1396353600000,214.697975523,45.580879705,214.697975523,45.580879705,139.290543885,45.580879705
1396440000000,214.57657982,46.238428547,214.57657982,46.238428547,139.211785464,46.238428547
1396526400000,162.826945008,36.0994858187,162.826945008,36.0994858187,105.637948724,36.0994858187
1396612800000,171.847364364,38.982745202,171.847364364,38.982745202,111.490165611,38.982745202
1396699200000,168.736399883,38.7179582413,168.736399883,38.7179582413,109.471851589,38.7179582413
1396785600000,174.553157804,39.5346247687,174.553157804,39.5346247687,113.245615047,39.5346247687
1396872000000,178.787748902,40.2508713727,178.787748902,40.2508713727,115.99290922,40.2508713727
1396958400000,172.058203771,38.9559237391,172.058203771,38.9559237391,111.626952814,38.9559237391
