timestamp,"market_cap-weighted (max_weight=0.1, min_volume=10000)","market_cap-weighted (max_weight=0.1, min_volume=100000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000)","market_cap-weighted (max_weight=0.2, min_volume=100000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.3, min_volume=10000)","market_cap-weighted (max_weight=0.3, min_volume=100000)","market_cap-weighted (max_weight=0.3, min_volume=1000000)"
1453204800000,44.1553616259,743.153480375,900.462849791,40.4615286555,85.7845295006,631.228632086,32.002173448,46.5015521607,234.341724406
1453291200000,44.1675802547,781.726632217,901.124731306,40.3603438929,86.7273341017,631.692614097,31.7886200395,46.3632349623,234.513976327
1453377600000,46.8131336441,823.740317123,992.555137767,43.4534149348,93.3526587724,695.785752881,34.5463157679,50.3934979138,258.308360646
1453464000000,47.6754781794,921.189536793,1150.46334277,42.4684764312,92.5485615246,806.480136621,33.3029154499,48.6462964242,266.541580153
1453550400000,47.7719642459,925.294442794,1198.19438456,43.4142582998,94.3718412078,839.939818186,33.8312283792,49.5779477388,278.295489445
1453636800000,49.7623286748,966.55923068,1327.29214828,46.3173133204,100.246508143,930.437949029,36.1930717906,53.1243133272,308.280044376
1453723200000,49.7887804867,987.21697201,1318.73518574,46.1295195976,100.230618299,924.439478622,36.0056645107,52.9213695517,306.29258382
1453809600000,56.0126574979,1141.36108014,1717.92079723,49.77223168,109.242807511,1204.27044283,38.5402415952,56.7907425491,340.574671809
1453896000000,61.8360087516,1266.88014544,1876.31348045,52.1564297123,114.536179129,1276.24403319,40.12280986,59.0446336013,350.668898033
1453982400000,59.5661227502,1217.76097982,1847.06482848,51.5351949304,112.814100999,1226.68786168,39.5902141275,58.2784963204,346.933021001
1454068800000,58.3550539021,1184.46031,1851.51068447,51.8408557414,113.452690703,1229.64048006,39.9892704064,59.035086593,353.57557918
1454155200000,57.1792203994,1141.7697187,1833.63580848,51.1415235659,111.586304567,1217.76927063,39.4581377652,58.2344445863,350.262215033
1454241600000,54.3957792594,1033.65964296,1739.56469134,49.3291571247,106.667766133,1155.29398782,38.1871075691,56.2122914676,339.663855875
1454328000000,54.5222217449,1029.01924126,1724.9898679,48.810204246,106.455523422,1145.61443639,37.7774760329,55.5523041024,332.905425089
1454414400000,53.273750706,1032.89083214,1693.93734581,48.3426867862,104.984001625,1124.99158043,37.5362644215,55.3449433801,326.912605504
1454500800000,54.1748965444,1078.30052282,1750.04757485,49.5488685429,108.088072865,1162.2559665,38.4096880462,56.8747383911,337.741306586
1454587200000,55.4919473151,1120.34324724,1781.18908242,50.4357084594,110.988032159,1182.93792024,39.0072854493,57.7737943896,343.751299461
1454673600000,57.7755059644,1186.54696995,1835.68804756,52.1824296693,115.333993138,1219.1322205,40.5729319317,59.9846771789,355.887648086
1454760000000,58.0564373287,1208.51312093,1818.86352365,51.9943408741,115.53859564,1207.95857953,40.2344321203,59.6123443653,352.991839004
1454846400000,59.3476583995,1226.91905137,1928.22834285,53.994883525,119.498767748,1280.59084134,42.1046116508,62.624021766,374.216569803
1454932800000,59.8062522713,1237.11894073,2007.61975418,55.1323929682,121.405161627,1333.31691738,43.0062302091,64.1468822603,389.624279025
1455019200000,59.8684208869,1255.63147349,2141.11870176,55.7998036472,122.971673521,1421.97733472,43.6782619072,65.3306691677,415.532786398
1455105600000,62.1329046244,1327.13099985,2443.81507636,59.4026602136,131.10952545,1623.00653671,47.3440778,71.2260956619,474.277903083
1455192000000,65.7792233976,1430.1629734,2884.43813996,60.5904718671,134.526193374,1915.63674403,47.8394605939,71.9024834187,508.403271951
1455278400000,68.7670238852,1490.51899933,4148.49269368,64.186204156,142.092316588,2755.13103444,51.7586020374,77.6592477657,563.098560782
1455364800000,69.5061009697,1504.34941081,4026.0078664,63.8288561391,141.09858019,2673.78540513,50.9540053278,76.0817936593,546.472996981
1455451200000,71.2414937793,1529.53552941,4109.25771829,65.2537514357,143.844656897,2729.0739804,52.0058572643,77.4788038286,557.237728961
1455537600000,73.4119413378,1598.77112475,4322.63239,67.6618605988,149.764072536,2870.78211957,54.5096747545,81.463827957,586.172496656
1455624000000,74.9163978002,1657.22162804,3993.62290065,66.5196298995,148.527609958,2652.27763574,52.8228958323,78.6203783757,541.557017847
1455710400000,70.8594256975,1531.28135963,3511.56997118,63.5250849319,141.222044598,2332.13268568,50.6288505525,75.0208441562,513.940029094
1455796800000,70.5541937388,1531.3046313,3608.62172956,64.556045555,144.069763347,2396.58749643,52.0324464604,77.3974276102,531.213187929
1455883200000,71.9095036082,1564.23102748,3633.91549911,65.4365351786,146.161553212,2413.38580236,52.6837064638,78.4215848559,534.936599514
1455969600000,73.5338799186,1594.70321869,3757.51055835,67.2510709552,150.119825164,2495.46876805,54.1260343748,80.5307312062,553.130616608
1456056000000,74.5345992863,1615.13566085,3865.03545244,68.3198809379,152.439570656,2566.87908369,55.1348786829,81.9282390629,568.958998204
1456142400000,75.3798398379,1628.62167619,3948.36060489,69.1413869041,154.464163173,2622.21766819,56.2141450039,83.7375400117,581.22501642
1456228800000,74.7841754467,1624.47325737,4001.11312109,69.2776625401,155.260949204,2657.25210244,56.7570391528,84.7244047867,588.990538661
1456315200000,74.8360469465,1631.45695359,4045.44948482,68.7018526465,154.223668509,2686.6971324,56.0638342027,83.7168928871,584.742447837
1456401600000,77.0480141257,1684.48085302,4293.33339944,71.5633698605,160.544094211,2851.32383336,59.2654573299,88.4522928895,620.572396414
1456488000000,75.7736146394,1647.44122299,4217.9893076,70.515053263,158.071881508,2801.28569637,58.1984635568,86.8685681268,609.681915923
1456574400000,77.0600540192,1699.50540873,4383.74146819,71.2259677195,160.67104595,2911.36638239,58.6235916213,87.5586415833,622.332395362
1456660800000,78.8164221258,1742.56333608,4875.16969022,72.2570135547,163.749075001,3237.73772874,59.4233749056,88.8366991454,692.097390581
1456747200000,79.3249253666,1755.83866837,4802.05269406,72.8415906254,164.52371727,3189.17866882,59.958256278,89.5126869576,694.585080347
1456833600000,78.3926518778,1669.31828202,4847.96276093,72.9806735924,164.335560475,3219.66883943,60.4320786193,90.3099909035,701.225667094
1456920000000,79.4342379972,1715.99768878,5071.53716975,75.4970509246,170.404067276,3368.15091178,63.6571775266,95.254556799,738.287814697
1457006400000,82.399632839,1775.74443195,5420.47775344,78.3674984772,176.672642673,3599.89219766,66.8687266037,99.9679904997,777.656936021
1457092800000,84.142090648,1856.0381531,5517.77012987,78.2132499529,176.826037692,3664.50680964,65.9961087032,98.7609360721,759.757411428
1457179200000,86.6489182849,1938.95513172,5786.77952777,79.9676015584,181.000817269,3843.16354004,68.0324576058,101.790581529,786.088955477
1457265600000,90.3741484486,2061.61820366,6467.40087511,82.0824007755,186.268281787,4232.54228073,69.8481219995,104.553158519,824.610429517
1457352000000,90.7080217251,2054.6282116,6175.28504026,80.2316419685,180.784833933,3986.06318013,66.9986951653,99.8718433951,779.462576588
1457438400000,93.8380020372,2118.98805231,6496.43542315,81.1610042435,182.36570745,4193.36141951,67.189409957,99.9636236435,799.459881108
1457524800000,96.8520878458,2194.43844748,6984.82942232,83.5953008893,187.889512819,4508.61315684,69.5627277481,103.484771513,848.986227989
