timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","Daily balanced: market_cap-weighted (max_weight=1, min_volume=0)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=10000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=100000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","Daily balanced: volume-weighted (max_weight=1, min_volume=0)",Bitcoin
1485259200000,2046691.70638,5189.25228179,111.745176401,21.0185854423,4600.26405494,36082728.3092,56996.8462782,631.832028987,21.0185854423,92655.1835864,34118.4923046,110713.741391,14536532.8092,881.914653634,4989.52685717,143877413127.0,33886362383.3,98319435.8269,874.573462064,164354.452019,635.736848007
1485345600000,2013980.06045,5103.62547132,109.978973973,20.7512863164,4498.39442821,35544055.475,56087.9974094,621.65487119,20.7512863164,90616.5246954,33649.5988904,108993.664526,14278070.1524,862.100064294,4889.81969099,142600822768.0,33343186742.1,96836224.76,854.923812376,161361.689113,628.595077247
1485432000000,2075805.13482,5267.76043778,113.281746635,21.5850333268,4577.94272393,36604779.3303,57792.8099203,640.61706806,21.5850333268,92134.4825461,34636.8200575,112107.251908,14435754.1821,876.492917765,4979.40953786,147228746637.0,34342169279.5,97842305.1773,869.196857548,164699.269795,633.842308523
1485518400000,2098455.44798,5301.60921544,113.726211973,21.5282873561,4713.45019424,36987778.1713,58273.9037714,641.872092749,21.5282873561,94907.1850561,35146.1655343,113254.570063,14479561.5553,1335.91450432,5119.90089656,186299190131.0,43299787703.8,122645205.321,1324.79414901,193531.996054,643.8218139
1485604800000,2109344.51326,5334.79838937,114.26770543,21.5703159002,4730.58334477,37274156.6121,58734.7768545,648.092233831,21.5703159002,95288.2320356,35357.9931501,113685.530496,14583528.9791,972.622286768,5140.63275411,167829233705.0,38974808542.0,110454316.91,964.526031077,184956.073151,644.973347599
1485691200000,2140420.75779,5447.6005449,114.951487522,21.9698864126,4738.32304709,40789988.6608,64651.9560763,673.748214709,21.9698864126,95954.214231,35737.2468232,114917.607283,14756565.2776,973.892572832,5155.60008435,171812997504.0,39850982739.3,113208188.47,965.785743087,186965.719753,645.394528907
1485777600000,2211788.01373,5478.13757117,115.822595948,22.2971353388,4726.31711336,41316971.4389,64905.7892332,680.595031868,22.2971353388,95721.5570937,35960.3302433,115694.165963,14991880.0644,970.2780172,5147.26217037,181998947618.0,42357001136.6,121831413.19,962.201275565,190949.511367,644.196853468
1485864000000,2251400.0722,5578.13665399,118.080221941,22.3788486636,4900.75420355,41992584.4078,65829.3366912,689.36136886,22.3788486636,99378.9246053,36592.6948029,117769.61792,15336783.8219,1011.16165672,5324.95207691,193044584254.0,44965978343.7,128147109.639,1002.74459346,199736.937511,656.34441974
1485950400000,2313553.23423,5686.79870578,120.768237118,23.0132828116,5276.57938752,43663223.337,67205.373742,705.153020217,23.0132828116,106779.93204,37592.911768,121042.909034,15728167.5158,1061.53014636,5698.64134987,199508011369.0,46453618738.2,131583042.878,1052.69380814,213000.888221,682.075394425
1486036800000,2339075.69343,5739.34032619,121.934302431,23.3883440619,5493.48514456,43902245.4115,67853.5524138,712.732051173,23.3883440619,109361.182213,37999.2346046,122158.888672,15856050.9562,1073.75444645,5912.47977973,194114570686.0,44941407920.9,124960441.07,1064.8163513,222493.34134,695.409352753
