timestamp,"market_cap-weighted (max_weight=0.2, min_volume=0)","market_cap-weighted (max_weight=0.2, min_volume=10000)","volume-weighted (max_weight=0.1, min_volume=100000)","volume-weighted (max_weight=0.2, min_volume=0)","volume-weighted (max_weight=0.2, min_volume=100000)","volume-weighted (max_weight=0.3, min_volume=100000)","volume-weighted (max_weight=1, min_volume=0)","volume-weighted (max_weight=1, min_volume=100000)"
1391688000000,317.484411983,106.891127009,274.585189723,235.962092391,246.481721181,216.698643448,175.696738766,175.93457381
1391774400000,272.61614701,91.8221889494,239.748367808,202.110387082,211.656887053,184.169642354,137.225061114,137.325864792
1391860800000,273.672841309,92.1391523964,242.497921697,203.622641813,211.684911872,184.676913323,137.424526689,137.38691153
1391947200000,268.331032336,90.3310804417,242.223370273,202.732822707,212.141124695,183.010065874,131.786368596,131.753219638
1392033600000,241.020753959,81.5365902449,223.716330687,182.584629282,191.451704057,161.525670062,107.811810062,107.742109101
1392120000000,276.649563109,93.6070223594,266.533452661,220.930093954,232.539829844,195.008151031,132.157485553,132.186095321
1392206400000,258.392372556,87.4700835148,236.249455671,206.264547525,216.369713613,185.307989494,117.834912529,117.82215074
1392292800000,253.060721465,85.8877632248,240.497167256,205.278400851,215.967792018,182.357104221,115.385558419,115.309457163
1392379200000,239.418522064,81.2920318842,258.810279929,228.150210128,241.793529768,192.198976403,113.160816896,113.133181661
1392465600000,249.708154526,84.7966933907,278.144329499,239.482072949,253.296196955,200.998934009,118.436386712,118.320133648
1392552000000,249.037929523,84.5246228893,273.906402342,229.604602305,242.333621582,193.611036742,115.983813149,115.87613213
1392638400000,248.091221569,84.204621339,269.711966238,228.117553684,239.166857651,193.067722621,116.893922189,116.698976266
1392724800000,237.004168028,80.4573692232,259.366863021,216.23951278,226.576799458,182.623083823,110.659725048,110.42123218
1392811200000,235.661532933,79.83182608,268.915908703,219.068814128,230.901404702,184.709693315,109.532613488,109.374503529
1392897600000,222.855882483,75.5203588264,246.625965585,200.550574862,211.358107727,170.222122141,100.535137626,100.423936296
1392984000000,212.716574371,72.1189252534,234.391443287,189.929497076,200.047003354,160.464881323,93.8658376231,93.7195006287
1393070400000,206.674827167,70.0680588167,233.489535702,186.192782897,197.08563829,157.995859768,92.1025288721,92.0575429532
