timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)",bitcoin
1418731200000,1861.46558243,247.148946907,13.510210233,12.6141797847,39.7676895194,67.4683304698,37.0566669337,13.510210233,12.6141797847,19.1137878258,233.549188967
1418817600000,1877.80478999,250.699532758,12.57824742,11.4177091826,36.560770414,67.9052468711,37.58902962,12.57824742,11.4177091826,17.6338174677,222.472973807
1418904000000,1913.2828702,254.401652139,12.1509910654,11.1253259951,35.8546198357,68.8908557564,38.1441127251,12.1509910654,11.1253259951,17.2525951343,219.624444554
1418990400000,1878.36568625,250.387246323,12.0136117257,10.9119138622,35.1383912912,67.8592250309,37.5422064611,12.0136117257,10.9119138622,16.9454740383,217.517966003
1419076800000,1966.69787566,262.502054308,12.3222688204,12.1682272738,38.2765420956,71.1393970788,39.3660176392,12.3222688204,12.1682272738,18.4236484679,230.039634585
1419163200000,1965.05861645,262.080244353,12.4685596977,11.806620107,37.7984904772,70.2079942889,39.295751447,12.4685596977,11.806620107,18.1321583954,226.621553272
1419249600000,2019.01444523,269.180584472,12.7104383067,12.1737937991,39.2168484006,72.327609506,40.3584888233,12.7104383067,12.1737937991,18.7695238322,230.145401405
1419336000000,2020.24899285,269.552140697,12.7030343167,12.3279015918,39.5793503684,72.3467528717,40.399073461,12.7030343167,12.3279015918,18.9161961668,231.602104237
1419422400000,1981.7023782,266.490755983,12.3730181949,12.3314187024,39.136759623,69.9164825228,39.9391364739,12.3730181949,12.3314187024,18.6408083567,231.635141904
1419508800000,1926.85563831,255.173411646,11.9342923857,11.4337459337,36.8737235952,68.6536108441,38.2448821097,11.9342923857,11.4337459337,17.6571212338,223.204134727
1419595200000,1978.65336609,262.22987667,12.3492600397,11.7518051778,37.9441489531,70.6001584418,39.3019454248,12.3492600397,11.7518051778,18.166021977,226.308635159
