"market_cap-weighted (max_weight=0.2, min_volume=0)","market_cap-weighted (max_weight=0.2, min_volume=10000)","market_cap-weighted (max_weight=1, min_volume=0)","market_cap-weighted (max_weight=1, min_volume=10000)",timestamp,"volume-weighted (max_weight=0.2, min_volume=0)","volume-weighted (max_weight=0.2, min_volume=10000)","volume-weighted (max_weight=1, min_volume=0)","volume-weighted (max_weight=1, min_volume=10000)"
772.38567364,141.049369312,30.4656825864,17.9527967084,1481457600000,382618.461424,376931.794026,685.342485705,668.252316819
782.923517971,142.758912727,31.3331361003,18.4644790768,1481544000000,388374.591103,382533.00625,703.718487925,686.194223821
788.145693613,143.493424357,31.4151775095,18.5079435997,1481630400000,394743.16815,388812.620942,707.438391962,689.779283481
791.676408248,144.426602615,31.4346545552,18.5227388436,1481716800000,406910.508463,400898.796186,714.241587413,696.388110349
809.33417536,144.083147354,31.373343902,18.4160866086,1481803200000,403359.704428,397075.180196,708.17414223,690.279803799
813.181177259,144.78137374,31.6060434335,18.5528507404,1481889600000,409441.019181,403091.657918,714.900115385,696.810531804
805.053576952,143.326874583,32.0641993458,18.8260865453,1481976000000,404317.799573,397817.928778,722.735625736,704.425104213
815.548642353,145.508047505,32.1775985237,18.8954816221,1482062400000,411060.891848,404413.261171,727.507347607,709.012297064
819.125378938,146.35861027,32.3256997232,18.9855134123,1482148800000,416124.294236,409731.01817,732.443939389,713.940060038
823.252805528,147.090050254,32.3410401231,18.993176525,1482235200000,423956.631042,417589.129867,736.661785438,718.082792981
825.983808151,147.015972683,33.4215824559,19.6256778097,1482321600000,434495.280624,427989.27075,762.896591455,743.69441089
841.995568499,149.527089688,37.2865948674,21.9044609519,1482408000000,433407.018178,426832.69471,840.060062807,819.032776048
885.713387687,157.560396555,40.8460176699,24.0040798593,1482494400000,448091.325525,441354.923394,913.763608788,890.988879322
904.198483901,161.777368991,40.2501852725,23.6626679807,1482580800000,467338.565144,460540.449079,918.444373284,895.669168236
894.212711778,159.605865224,37.8649658432,22.2392808801,1482667200000,506335.43485,499450.675398,895.392592924,873.148898704
913.011052817,161.810017277,39.9245778127,23.4382135245,1482753600000,491483.928179,484379.531728,927.210036276,904.116361827
928.474194785,164.50787792,41.8770899123,24.5910465785,1482840000000,502920.33699,495641.3012,970.653295658,946.553144042
958.632085138,170.122054586,44.6816522315,26.2482095588,1482926400000,534042.707712,526479.184,1038.70548307,1013.01758536
1004.80963534,178.33906305,46.4677872701,27.3012940154,1483012800000,553093.321101,545246.018527,1081.44168656,1054.7155347
996.782531472,177.28263934,43.8396295833,25.7514545013,1483099200000,553454.712873,545596.948728,1030.89205113,1005.30984208
1004.88131738,178.558470456,44.4073063465,26.0808195827,1483185600000,550672.380684,542814.914931,1039.15641758,1013.37035871
1034.09375398,183.599859584,46.4855238738,27.3044093494,1483272000000,563440.849673,555355.398332,1081.18119719,1054.41779886
1056.77909442,187.480358809,50.8085229994,29.8570918429,1483358400000,580478.657911,572102.914607,1173.98292966,1145.00788305
1090.79186276,193.778428573,51.1887608779,30.0812222207,1483444800000,608654.044756,599964.100898,1194.70777362,1165.25397389
1211.57819539,215.18707891,56.963977811,33.480757955,1483531200000,673495.075064,664005.701148,1339.10179454,1306.2240186
1230.91420944,218.843066631,59.18350719,34.7952964269,1483617600000,686504.264661,676854.793098,1388.67950963,1354.61933271
1000.40282104,178.007498011,35.8130249172,21.00022922,1483704000000,562434.093118,554510.050298,852.99890611,831.805089478
982.935247747,174.637982767,34.9777900387,20.5064154635,1483790400000,550238.698166,542343.980351,832.911133339,812.183109085
1022.52554312,181.70107758,37.6084022235,22.055028884,1483876800000,576246.56142,567944.584854,893.047162052,870.819020509
1025.03707295,182.107760058,36.7642299232,21.5565077983,1483963200000,579839.814242,571489.792027,879.418320895,857.509103335
1038.30324091,184.300315221,36.9665685603,21.6695546262,1484049600000,595803.522605,587025.476723,890.563197191,868.28423966
958.922597522,170.109512773,31.3445816391,18.3567981701,1484136000000,550532.544584,542214.189993,764.408746335,745.063740687
886.009949331,157.234292687,26.4351415999,15.4679769942,1484222400000,507137.484651,499417.098479,651.039243113,634.463044404
933.412688801,165.580287168,28.7873279046,16.8483976163,1484308800000,534894.241766,526752.402971,705.767738175,687.842511248
957.576266069,169.791954333,30.6322113885,17.934090967,1484395200000,546531.591716,538053.73631,743.614190244,724.719000189
960.15211233,170.106963735,29.9540027516,17.530515837,1484481600000,558584.39263,550048.628829,739.084416805,720.274483832
959.757201422,169.685976276,30.1822837224,17.6595805927,1484568000000,555613.915872,547235.011906,740.819494333,722.035991872
1007.51236675,177.815625125,33.8545798166,19.8174264724,1484654400000,583492.998871,574567.121704,819.753517807,799.045878494
1043.64035172,184.358232617,35.2619746624,20.6453794246,1484740800000,606086.178693,596849.025139,854.197668985,832.635564466
1030.16372832,181.79575954,34.3977640783,20.1338096521,1484827200000,610961.935418,601724.593412,838.526851902,817.281553468
1041.81788959,183.84492115,34.5264607178,20.2083692876,1484913600000,634179.828313,624161.366198,849.303896466,827.524234712
1071.99148988,189.280144057,36.7609660299,21.5247979974,1485000000000,649684.107636,639214.56385,899.099691585,876.06453262
1086.70385993,192.089238645,37.3176526027,21.8545194168,1485086400000,651340.76741,640405.373329,909.39660401,885.984396003
1080.30973278,191.319008996,36.8741352918,21.5984787436,1485172800000,645171.909144,634485.924495,897.234730847,874.143262395
1062.6945735,188.125473347,35.7745181426,20.9492077547,1485259200000,639393.62904,628301.622022,873.977144936,851.204824875
1051.93591209,185.428494297,35.0429682894,20.506108594,1485345600000,630667.146312,618887.646002,856.382522849,833.761014106
1078.25392839,190.298989732,35.6648758724,20.8710606972,1485432000000,646485.376024,634340.689935,872.413346894,849.319266095
1090.68424499,192.396056863,36.6400588534,21.4423229952,1485518400000,762835.905269,748620.216859,982.325184851,956.521015619
1096.52658119,193.360617384,36.7806435413,21.523097918,1485604800000,644235.458294,631954.773012,913.586542076,889.218350379
1107.99974422,195.194066648,36.8763394976,21.5733856437,1485691200000,654985.694443,642913.410449,920.804659088,896.434839173
1114.31557365,196.265575085,36.7938696333,21.5221154749,1485777600000,685607.802131,673207.752812,935.831932912,910.983637095
1135.50181926,199.552520905,38.0414621448,22.2476740764,1485864000000,715256.635482,702694.155488,973.12045967,947.443276347
1166.59739387,204.802949421,40.6355779052,23.7710425527,1485950400000,737883.300556,724910.707568,1036.1491844,1008.90295372
1183.76373847,206.831379688,42.0168178133,24.5662689945,1486036800000,697197.615795,682963.003463,1047.18769635,1019.22147155
1202.79551207,210.031643717,43.8447221085,25.6387313796,1486123200000,705436.745167,690976.035953,1089.59201568,1060.57131582
1355.07101174,214.54673867,45.059280639,25.9356349998,1486209600000,721023.168042,706016.134026,1103.95313064,1074.45345459
1363.08840871,215.674489101,46.0136241715,26.4867946214,1486296000000,731766.925472,716781.917591,1128.13771904,1098.10293337
1372.13712251,217.029645055,46.3066771824,26.6541046775,1486382400000,736369.845908,721228.701959,1135.25841852,1105.01016582
1403.03412395,221.863938059,47.8539593436,27.5456636576,1486468800000,749865.925175,734266.999741,1170.99788238,1139.78578837
1403.33145328,222.175061176,47.1840818758,27.1595987005,1486555200000,740597.905752,725022.552233,1152.77690153,1121.98323085
1405.46233581,222.057445245,49.1061693536,28.2684833597,1486641600000,752981.602955,736961.344603,1201.38009446,1169.33129296
1276.86039073,201.865790986,40.1706414832,23.1044966621,1486728000000,690150.449253,675549.412897,986.011209156,959.561840623
1318.54521918,208.216057456,42.3665517841,24.370707714,1486814400000,707938.994486,692656.431416,1036.55840182,1008.76660264
1320.35091797,208.630885953,42.3862233059,24.3836542626,1486900800000,714868.752754,698856.151899,1039.7030984,1011.5192044
1303.94961025,206.049909842,41.569320087,23.9121687683,1486987200000,707865.065611,691979.353206,1021.34241059,993.592359075
1335.71562818,211.330021463,42.6282901617,24.528670406,1487073600000,729847.639892,713682.232265,1052.53554892,1024.05205876
1373.03307624,217.101709988,42.8899122916,24.6729164825,1487160000000,751272.803277,734990.723103,1069.66986061,1040.80452015
1387.185574,219.343509005,43.970962402,25.2975269475,1487246400000,783649.885655,766979.169482,1103.06193433,1073.3048742
1389.11337403,219.262771948,45.1833354313,25.9958536222,1487332800000,787015.770099,769991.984688,1128.15220211,1097.72461704
1398.82213058,220.87289301,46.7887139851,26.9268390724,1487419200000,790420.229158,773198.689414,1163.51680416,1132.22674589
1402.05404515,220.945534397,46.5651892877,26.7894612879,1487505600000,780530.336934,763335.762663,1153.45918355,1122.39643213
1399.30217931,220.48882057,46.6441589032,26.8357527428,1487592000000,784097.647822,766931.076844,1157.08019708,1125.95824459
1403.2022847,220.544058053,50.1490919217,28.8591582038,1487678400000,778821.990802,761263.885489,1227.49054922,1194.57510799
1409.34877073,221.685532914,50.5343579122,29.0845075494,1487764800000,768160.261065,750724.299065,1230.47031229,1197.51224665
1446.13338361,227.705811442,52.8221878985,30.4088206578,1487851200000,790245.656106,772612.312251,1284.49035295,1250.24739214
1454.84530018,228.723034841,54.6081160658,31.4393081413,1487937600000,798977.132322,781093.887074,1326.9059929,1291.57577482
1471.11236635,231.274466807,55.8184700509,32.1404457209,1488024000000,817132.20711,798833.787844,1358.05159863,1321.89169285
1481.88907047,232.871737176,55.0578599821,31.6947371176,1488110400000,821745.440944,803471.930231,1343.09679134,1307.30946342
1508.53959259,236.785971201,56.1761170251,32.3380492583,1488196800000,832926.063241,814353.823107,1373.48790526,1336.98857769
1531.97041251,239.947025632,56.7990070705,32.6909131076,1488283200000,855883.164807,836781.283139,1403.981262,1366.67665037
1594.39987723,250.569559401,58.200411952,33.5058845583,1488369600000,911473.829697,891355.317774,1455.40729483,1416.90296138
1728.73825357,271.973120261,62.0691168155,35.7365825748,1488456000000,1009150.4094,986796.108646,1590.33257075,1548.36066306
1826.37875116,285.967586782,67.1099888631,38.6259598427,1488542400000,1045413.15308,1022131.17594,1693.05871547,1648.35974286
1823.46983857,285.72246465,66.5275279749,38.2884882456,1488628800000,1060050.40369,1036659.22523,1684.99596101,1640.49055116
1762.7464545,275.875915717,63.9605261915,36.8024589745,1488715200000,997304.578587,974985.578422,1609.02791923,1566.40425766
1853.2646799,288.158539974,66.7244144204,38.3579383926,1488801600000,1047589.44431,1024391.67568,1681.33976657,1636.8883356
1777.60590329,276.386091265,61.1805120207,35.1569338057,1488888000000,1009032.81991,987071.744033,1555.76422637,1514.60834876
1768.88045433,274.918121436,60.3657344137,34.6825242517,1488974400000,1006848.13662,984954.470388,1536.05322043,1495.37959707
1714.10270833,264.839283029,56.3920162724,32.3585029497,1489060800000,980349.900502,959298.778834,1441.11972478,1402.87885583
1777.56438511,274.21761682,58.9957806075,33.8483488968,1489147200000,1019243.12322,996959.768364,1508.94289119,1468.8771717
1835.19162659,283.744373141,58.5682176175,33.6082254436,1489233600000,1055882.38623,1033062.02027,1509.47334102,1469.43864493
1983.15483542,307.544944033,59.6242000453,34.2182269552,1489320000000,1161876.24304,1137166.44234,1609.65498902,1567.09381755
2198.98878156,341.155077809,65.4183928727,37.5490976524,1489406400000,1292010.66768,1264613.73156,1806.93758937,1759.26643336
2256.32819291,350.150233812,66.1047211482,37.9416620424,1489492800000,1338716.65186,1310489.22705,1845.90480949,1797.24684257
2346.69233673,364.506299029,67.8588909387,38.950206501,1489579200000,1410396.11642,1380662.89301,1919.34614453,1868.80220234
2571.96679228,399.819674212,70.0669450059,40.2204247403,1489665600000,1542189.20248,1509937.69617,2144.23976519,2087.88436954
2570.54072035,399.55062786,64.9996402447,37.3002582892,1489752000000,1549518.27729,1517245.63896,2099.90674062,2044.73448739
2529.73444561,393.714787836,59.4921739197,34.1275766806,1489838400000,1516670.96692,1485246.21379,1934.25405361,1883.3514307
2444.10891705,381.099432453,51.138424582,29.3231324346,1489924800000,1504201.60644,1473301.60844,1731.37517054,1685.75185244
2639.15054835,411.223456371,56.6273185227,32.4736753773,1490011200000,1613570.69006,1580146.27886,1917.24295326,1866.72899648
